time_s,left_heel_y,right_heel_y,left_knee_deg,right_knee_deg
1.280,0.155739,0.104770,159.444,142.065
1.300,0.157538,0.102630,159.874,141.615
1.320,0.158858,0.100712,159.999,141.286
1.340,0.159681,0.099040,159.817,141.080
1.360,0.159996,0.097636,159.331,141.001
1.380,0.159801,0.096518,158.547,141.050
1.400,0.159097,0.095700,157.475,141.226
1.420,0.157894,0.095192,156.128,141.526
1.440,0.156207,0.095002,154.525,141.948
1.460,0.154056,0.095130,152.684,142.486
1.480,0.151471,0.095577,150.631,143.132
1.500,0.148484,0.096335,148.390,143.879
1.520,0.145132,0.097396,145.991,144.717
1.540,0.141460,0.098746,143.465,145.635
1.560,0.137513,0.100367,140.843,146.622
1.580,0.133343,0.102240,138.159,147.664
1.600,0.129002,0.104339,135.448,148.750
1.620,0.124546,0.106638,132.744,149.864
1.640,0.120032,0.109108,130.081,150.992
1.660,0.115517,0.111717,127.494,152.121
1.680,0.111060,0.114432,125.015,153.235
1.700,0.106717,0.117218,122.677,154.321
1.720,0.102544,0.120040,120.510,155.364
1.740,0.098594,0.122861,118.540,156.352
1.760,0.094917,0.125646,116.793,157.271
1.780,0.091561,0.128358,115.292,158.110
1.800,0.088568,0.130964,114.055,158.858
1.820,0.085977,0.133429,113.098,159.506
1.840,0.083820,0.135723,112.435,160.045
1.860,0.082126,0.137816,112.072,160.468
1.880,0.080916,0.139682,112.015,160.771
1.900,0.080205,0.141296,112.265,160.949
1.920,0.080003,0.142638,112.818,160.999
1.940,0.080311,0.143690,113.667,160.922
1.960,0.081127,0.144440,114.801,160.718
1.980,0.082440,0.144878,116.206,160.390
2.000,0.084232,0.144997,117.865,159.942
2.020,0.086481,0.144798,119.754,159.380
2.040,0.089159,0.144281,121.852,158.710
2.060,0.092231,0.143455,124.130,157.942
2.080,0.095658,0.142328,126.560,157.086
2.100,0.099395,0.140916,129.111,156.151
2.120,0.103396,0.139237,131.749,155.151
2.140,0.107609,0.137313,134.442,154.098
2.160,0.111980,0.135167,137.155,153.005
2.180,0.116454,0.132827,139.853,151.886
2.200,0.120973,0.130323,142.502,150.757
2.220,0.125480,0.127688,145.068,149.630
2.240,0.129917,0.124954,147.517,148.521
2.260,0.134227,0.122157,149.820,147.443
2.280,0.138355,0.119332,151.946,146.411
2.300,0.142249,0.116516,153.869,145.438
2.320,0.145858,0.113744,155.563,144.536
2.340,0.149137,0.111053,157.007,143.716
2.360,0.152044,0.108475,158.182,142.989
2.380,0.154541,0.106045,159.075,142.365
2.400,0.156597,0.103793,159.672,141.851
2.420,0.158185,0.101749,159.967,141.454
2.440,0.159286,0.099937,159.956,141.179
2.460,0.159884,0.098382,159.638,141.029
2.480,0.159973,0.097103,159.019,141.007
2.500,0.159551,0.096117,158.105,141.112
2.520,0.158624,0.095435,156.909,141.344
2.540,0.157203,0.095068,155.446,141.699
2.560,0.155307,0.095019,153.735,142.173
2.580,0.152959,0.095290,151.796,142.760
2.600,0.150191,0.095876,149.656,143.452
2.620,0.147037,0.096770,147.342,144.241
2.640,0.143537,0.097961,144.882,145.116
2.660,0.139737,0.099434,142.309,146.066
2.680,0.135684,0.101170,139.656,147.079
2.700,0.131431,0.103146,136.955,148.142
2.720,0.127032,0.105338,134.243,149.242
2.740,0.122543,0.107716,131.553,150.364
2.760,0.118022,0.110252,128.920,151.494
2.780,0.113526,0.112913,126.377,152.619
2.800,0.109113,0.115664,123.957,153.722
2.820,0.104838,0.118470,121.691,154.790
2.840,0.100758,0.121296,119.608,155.811
2.860,0.096923,0.124105,117.734,156.769
2.880,0.093383,0.126862,116.094,157.654
2.900,0.090184,0.129531,114.708,158.454
2.920,0.087365,0.132079,113.594,159.159
2.940,0.084963,0.134472,112.767,159.759
2.960,0.083009,0.136680,112.236,160.248
2.980,0.081528,0.138675,112.009,160.618
3.000,0.080538,0.140431,112.088,160.866
3.020,0.080052,0.141927,112.473,160.987
3.040,0.080077,0.143142,113.159,160.981
3.060,0.080612,0.144062,114.136,160.847
3.080,0.081650,0.144674,115.393,160.587
3.100,0.083178,0.144970,116.913,160.205
3.120,0.085177,0.144948,118.677,159.706
3.140,0.087621,0.144607,120.663,159.095
3.160,0.090478,0.143952,122.844,158.381
3.180,0.093713,0.142990,125.193,157.572
3.200,0.097283,0.141735,127.681,156.679
3.220,0.101144,0.140202,130.275,155.714
3.240,0.105245,0.138411,132.941,154.689
3.260,0.109536,0.136385,135.647,153.616
3.280,0.113959,0.134149,138.358,152.510
3.300,0.118461,0.131732,141.038,151.385
3.320,0.122981,0.129166,143.654,150.255
3.340,0.127464,0.126483,146.173,149.134
3.360,0.131851,0.123716,148.561,148.037
3.380,0.136087,0.120902,150.789,146.978
3.400,0.140117,0.118077,152.827,145.971
3.420,0.143891,0.115276,154.651,145.027
3.440,0.147359,0.112536,156.237,144.160
3.460,0.150477,0.109891,157.563,143.381
3.480,0.153206,0.107375,158.615,142.698
3.500,0.155511,0.105020,159.377,142.122
3.520,0.157362,0.102857,159.841,141.660
3.540,0.158735,0.100913,160.000,141.316
3.560,0.159614,0.099213,159.852,141.096
3.580,0.159987,0.097778,159.400,141.003
3.600,0.159848,0.096628,158.649,141.038
3.620,0.159201,0.095776,157.608,141.200
3.640,0.158052,0.095233,156.291,141.487
3.660,0.156417,0.095007,154.715,141.896
3.680,0.154317,0.095100,152.900,142.421
3.700,0.151779,0.095512,150.869,143.055
3.720,0.148834,0.096236,148.648,143.791
3.740,0.145521,0.097264,146.265,144.620
3.760,0.141882,0.098582,143.751,145.529
3.780,0.137964,0.100174,141.138,146.509
3.800,0.133816,0.102020,138.459,147.546
3.820,0.129491,0.104095,135.749,148.627
3.840,0.125045,0.106374,133.043,149.739
3.860,0.120534,0.108826,130.374,150.866
3.880,0.116017,0.111421,127.776,151.996
3.900,0.111551,0.114126,125.284,153.112
3.920,0.107192,0.116906,122.929,154.202
3.940,0.102998,0.119726,120.741,155.251
3.960,0.099020,0.122549,118.748,156.245
3.980,0.095311,0.125339,116.975,157.172
4.000,0.091917,0.128061,115.446,158.021
