time_s,left_heel_y,right_heel_y,left_knee_deg,right_knee_deg
2.780,0.086652,0.151999,127.406,158.581
2.800,0.088247,0.151712,128.614,157.676
2.820,0.090343,0.150926,130.032,156.570
2.840,0.092906,0.149652,131.640,155.283
2.860,0.095897,0.147910,133.411,153.833
2.880,0.099267,0.145728,135.318,152.244
2.900,0.102965,0.143140,137.329,150.540
2.920,0.106932,0.140187,139.415,148.750
2.940,0.111104,0.136916,141.541,146.900
2.960,0.115417,0.133378,143.675,145.020
2.980,0.119802,0.129630,145.782,143.140
3.000,0.124190,0.125729,147.829,141.289
3.020,0.128512,0.121738,149.785,139.497
3.040,0.132700,0.117719,151.618,137.791
3.060,0.136687,0.113737,153.299,136.199
3.080,0.140412,0.109853,154.802,134.746
3.100,0.143814,0.106130,156.103,133.455
3.120,0.146841,0.102625,157.181,132.346
3.140,0.149445,0.099394,158.020,131.436
3.160,0.151584,0.096488,158.607,130.740
3.180,0.153225,0.093953,158.931,130.269
3.200,0.154342,0.091828,158.989,130.031
3.220,0.154918,0.090148,158.779,130.028
3.240,0.154943,0.088939,158.304,130.262
3.260,0.154417,0.088219,157.572,130.728
3.280,0.153348,0.088001,156.594,131.419
3.300,0.151753,0.088288,155.386,132.324
3.320,0.149657,0.089074,153.968,133.430
3.340,0.147094,0.090348,152.360,134.717
3.360,0.144103,0.092090,150.589,136.167
3.380,0.140733,0.094272,148.682,137.756
3.400,0.137035,0.096860,146.671,139.460
3.420,0.133068,0.099813,144.585,141.250
3.440,0.128896,0.103084,142.459,143.100
3.460,0.124583,0.106622,140.325,144.980
3.480,0.120198,0.110370,138.218,146.860
3.500,0.115810,0.114271,136.171,148.711
3.520,0.111488,0.118262,134.215,150.503
3.540,0.107300,0.122281,132.382,152.209
3.560,0.103313,0.126263,130.701,153.801
3.580,0.099588,0.130147,129.198,155.254
3.600,0.096186,0.133870,127.897,156.545
3.620,0.093159,0.137375,126.819,157.654
3.640,0.090555,0.140606,125.980,158.564
3.660,0.088416,0.143512,125.393,159.260
3.680,0.086775,0.146047,125.069,159.731
3.700,0.085658,0.148172,125.011,159.969
3.720,0.085082,0.149852,125.221,159.972
3.740,0.085057,0.151061,125.696,159.738
3.760,0.085583,0.151781,126.428,159.272
3.780,0.086652,0.151999,127.406,158.581
3.800,0.088247,0.151712,128.614,157.676
3.820,0.090343,0.150926,130.032,156.570
3.840,0.092906,0.149652,131.640,155.283
3.860,0.095897,0.147910,133.411,153.833
3.880,0.099267,0.145728,135.318,152.244
3.900,0.102965,0.143140,137.329,150.540
3.920,0.106932,0.140187,139.415,148.750
3.940,0.111104,0.136916,141.541,146.900
3.960,0.115417,0.133378,143.675,145.020
3.980,0.119802,0.129630,145.782,143.140
4.000,0.124190,0.125729,147.829,141.289
